         650223 function calls (648759 primitive calls) in 45.561 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 CVGridSearch.py:35(<listcomp>)
        1    0.000    0.000    0.000    0.000 CVGridSearch.py:39(<listcomp>)
        1    0.000    0.000    0.025    0.025 CVGridSearch.py:9(__init__)
     2400    0.014    0.000    0.055    0.000 __init__.py:181(safe_indexing)
        2    0.000    0.000    0.000    0.000 __init__.py:212(_acquireLock)
        2    0.000    0.000    0.000    0.000 __init__.py:221(_releaseLock)
        4    0.000    0.000    0.001    0.000 __init__.py:253(_at_fork_weak_calls)
        2    0.000    0.000    0.000    0.000 __init__.py:264(_before_at_fork_weak_calls)
        2    0.000    0.000    0.001    0.001 __init__.py:268(_after_at_fork_weak_calls)
        8    0.000    0.000    0.001    0.000 __init__.py:8(_make_name)
        4    0.000    0.000    0.000    0.000 __init__.py:849(acquire)
        4    0.000    0.000    0.000    0.000 __init__.py:856(release)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:252(__subclasshook__)
        6    0.000    0.000    0.000    0.000 _collections_abc.py:302(__subclasshook__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:392(__subclasshook__)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
     3663    0.008    0.000    0.012    0.000 _config.py:13(get_config)
     1219    0.006    0.000    0.006    0.000 _internal.py:886(npy_ctypes_check)
        2    0.000    0.000    0.000    0.000 _methods.py:26(_amax)
        2    0.000    0.000    0.000    0.000 _methods.py:30(_amin)
      638    0.002    0.000    0.017    0.000 _methods.py:34(_sum)
        7    0.000    0.000    0.000    0.000 _methods.py:42(_any)
      634    0.006    0.000    0.007    0.000 _methods.py:48(_count_reduce_items)
      634    0.016    0.000    0.044    0.000 _methods.py:58(_mean)
       10    0.000    0.000    0.000    0.000 _parallel_backends.py:135(retrieval_context)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:178(in_main_thread)
       10    0.000    0.000    0.000    0.000 _parallel_backends.py:193(effective_n_jobs)
      600    0.004    0.000    7.007    0.012 _parallel_backends.py:199(apply_async)
      600    0.010    0.000    0.038    0.000 _parallel_backends.py:206(get_nested_backend)
      605    0.006    0.000    0.008    0.000 _parallel_backends.py:273(__init__)
      610    0.001    0.000    0.001    0.000 _parallel_backends.py:37(__init__)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:498(configure)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:513(effective_n_jobs)
      600    0.002    0.000    6.990    0.012 _parallel_backends.py:579(__init__)
      600    0.001    0.000    0.001    0.000 _parallel_backends.py:584(get)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:622(__init__)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:68(configure)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:78(start_call)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:81(stop_call)
        5    0.000    0.000    0.000    0.000 _parallel_backends.py:84(terminate)
      605    0.001    0.000    0.001    0.000 _parallel_backends.py:87(compute_batch_size)
      600    0.001    0.000    0.001    0.000 _parallel_backends.py:91(batch_completed)
      178    0.001    0.000    0.001    0.000 _search.py:112(__iter__)
        5    0.000    0.000    0.000    0.000 _search.py:1135(__init__)
        5    0.000    0.000    7.548    1.510 _search.py:1147(_run_search)
        7    0.000    0.000    0.000    0.000 _search.py:132(__len__)
       14    0.000    0.000    0.000    0.000 _search.py:136(<genexpr>)
        5    0.000    0.000    0.000    0.000 _search.py:358(_check_param_grid)
        5    0.000    0.000    0.000    0.000 _search.py:382(__init__)
        5    0.001    0.000    7.567    1.513 _search.py:583(fit)
        5    0.000    0.000    7.547    1.509 _search.py:651(evaluate_candidates)
      605    0.012    0.000    0.324    0.001 _search.py:660(<genexpr>)
        5    0.001    0.000    0.018    0.004 _search.py:729(_format_results)
       15    0.001    0.000    0.008    0.001 _search.py:748(_store)
        7    0.000    0.000    0.000    0.000 _search.py:89(__init__)
        5    0.000    0.000    0.002    0.000 _split.py:1940(check_cv)
       16    0.000    0.000    0.000    0.000 _split.py:281(__init__)
    90/30    0.000    0.000    0.016    0.001 _split.py:303(split)
        5    0.000    0.000    0.000    0.000 _split.py:338(get_n_splits)
       11    0.000    0.000    0.000    0.000 _split.py:428(__init__)
       60    0.001    0.000    0.001    0.000 _split.py:435(_iter_test_indices)
        5    0.000    0.000    0.000    0.000 _split.py:627(__init__)
    90/30    0.001    0.000    0.015    0.000 _split.py:63(split)
        5    0.003    0.001    0.013    0.003 _split.py:633(_make_test_folds)
        5    0.000    0.000    0.001    0.000 _split.py:666(<listcomp>)
       30    0.000    0.000    0.013    0.000 _split.py:685(_iter_test_masks)
        5    0.000    0.000    0.001    0.000 _split.py:690(split)
       60    0.001    0.000    0.003    0.000 _split.py:96(_iter_test_masks)
        5    0.000    0.000    0.000    0.000 _validation.py:1507(_aggregate_score_dicts)
        5    0.000    0.000    0.000    0.000 _validation.py:1530(<dictcomp>)
        5    0.000    0.000    0.000    0.000 _validation.py:1530(<listcomp>)
      600    0.027    0.000    6.956    0.012 _validation.py:395(_fit_and_score)
      600    0.001    0.000    0.001    0.000 _validation.py:498(<dictcomp>)
      600    0.002    0.000    5.901    0.010 _validation.py:592(_score)
      600    0.009    0.000    5.899    0.010 _validation.py:621(_multimetric_score)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
       12    0.000    0.000    0.001    0.000 _weakrefset.py:58(__iter__)
        8    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
     8664    0.014    0.000    0.067    0.000 abc.py:137(__instancecheck__)
6841/6833    0.011    0.000    0.028    0.000 abc.py:141(__subclasscheck__)
     3671    0.008    0.000    0.011    0.000 arraysetops.py:138(_unpack_tuple)
     3671    0.026    0.000    0.238    0.000 arraysetops.py:151(unique)
     3671    0.106    0.000    0.175    0.000 arraysetops.py:299(_unique1d)
      601    0.004    0.000    0.042    0.000 arraysetops.py:704(union1d)
        1    0.000    0.000    0.000    0.000 base.py:1171(_process_toarray_args)
     3768    0.007    0.000    0.011    0.000 base.py:1185(isspmatrix)
     1978    0.034    0.000    0.367    0.000 base.py:150(_get_param_names)
     1978    0.017    0.000    0.024    0.000 base.py:164(<listcomp>)
     1978    0.006    0.000    0.008    0.000 base.py:175(<listcomp>)
     1978    0.019    0.000    0.390    0.000 base.py:177(get_params)
      656    0.009    0.000    0.133    0.000 base.py:200(set_params)
        2    0.000    0.000    0.000    0.000 base.py:241(nnz)
 1983/661    0.023    0.000    0.310    0.000 base.py:32(clone)
      600    0.011    0.000    5.877    0.010 base.py:332(score)
        5    0.000    0.000    0.000    0.000 base.py:621(is_classifier)
        1    0.000    0.000    0.000    0.000 base.py:70(__init__)
        6    0.000    0.000    0.000    0.000 base.py:84(get_shape)
      600    0.003    0.000    0.055    0.000 classification.py:106(_weighted_sum)
      600    0.009    0.000    0.432    0.001 classification.py:115(accuracy_score)
        1    0.000    0.000    0.004    0.004 classification.py:187(confusion_matrix)
        1    0.000    0.000    0.000    0.000 classification.py:272(<dictcomp>)
        1    0.001    0.001    0.001    0.001 classification.py:274(<listcomp>)
        1    0.001    0.001    0.001    0.001 classification.py:275(<listcomp>)
      601    0.016    0.000    0.301    0.001 classification.py:44(_check_targets)
        1    0.000    0.000    0.000    0.000 codecs.py:260(__init__)
        1    0.000    0.000    0.000    0.000 codecs.py:309(__init__)
       10    0.000    0.000    0.000    0.000 codecs.py:319(decode)
        8    0.000    0.000    0.000    0.000 connection.py:117(__init__)
        8    0.000    0.000    0.000    0.000 connection.py:130(__del__)
        4    0.000    0.000    0.000    0.000 connection.py:134(_check_closed)
        1    0.000    0.000    0.000    0.000 connection.py:138(_check_readable)
        2    0.000    0.000    0.000    0.000 connection.py:142(_check_writable)
        1    0.000    0.000    0.000    0.000 connection.py:168(fileno)
        2    0.000    0.000    0.000    0.000 connection.py:181(send_bytes)
        1    0.000    0.000    0.000    0.000 connection.py:253(poll)
        8    0.000    0.000    0.000    0.000 connection.py:360(_close)
        2    0.000    0.000    0.000    0.000 connection.py:365(_send)
        2    0.000    0.000    0.000    0.000 connection.py:390(_send_bytes)
        1    0.000    0.000    0.000    0.000 connection.py:413(_poll)
        4    0.000    0.000    0.000    0.000 connection.py:506(Pipe)
        1    0.000    0.000    0.000    0.000 connection.py:906(wait)
        4    0.000    0.000    0.003    0.001 context.py:109(SimpleQueue)
        2    0.000    0.000    0.022    0.011 context.py:114(Pool)
       12    0.000    0.000    0.000    0.000 context.py:186(get_context)
        8    0.000    0.000    0.000    0.000 context.py:196(get_start_method)
        7    0.000    0.000    0.000    0.000 context.py:232(get_context)
        2    0.000    0.000    0.012    0.006 context.py:274(_Popen)
        8    0.000    0.000    0.003    0.000 context.py:64(Lock)
        5    0.000    0.000    0.000    0.000 contextlib.py:107(__enter__)
        5    0.000    0.000    0.000    0.000 contextlib.py:116(__exit__)
        5    0.000    0.000    0.000    0.000 contextlib.py:237(helper)
        5    0.000    0.000    0.000    0.000 contextlib.py:81(__init__)
        1    0.000    0.000    0.001    0.001 coo.py:126(__init__)
        2    0.000    0.000    0.000    0.000 coo.py:228(getnnz)
        1    0.000    0.000    0.000    0.000 coo.py:254(_check)
        1    0.000    0.000    0.000    0.000 coo.py:308(toarray)
     1322    0.009    0.000    0.013    0.000 copy.py:132(deepcopy)
     1322    0.001    0.000    0.001    0.000 copy.py:190(_deepcopy_atomic)
        5    0.000    0.000    0.000    0.000 core.py:1282(_replace_dtype_fields_recursive)
        5    0.000    0.000    0.000    0.000 core.py:1314(_replace_dtype_fields)
        5    0.000    0.000    0.000    0.000 core.py:1328(make_mask_descr)
      125    0.000    0.000    0.000    0.000 core.py:1361(getmask)
        5    0.000    0.000    0.001    0.000 core.py:2775(__new__)
        5    0.000    0.000    0.000    0.000 core.py:2905(_update_from)
        5    0.000    0.000    0.000    0.000 core.py:2931(__array_finalize__)
      120    0.001    0.000    0.002    0.000 core.py:3283(__setitem__)
       10    0.000    0.000    0.000    0.000 core.py:3349(dtype)
       10    0.000    0.000    0.000    0.000 core.py:3365(shape)
      120    0.000    0.000    0.001    0.000 core.py:3564(_get_data)
        1    0.000    0.000    0.000    0.000 data.py:22(__init__)
        1    0.000    0.000    0.000    0.000 data.py:25(_get_dtype)
        3    0.000    0.000    0.107    0.036 dataGenerator.py:14(_generateX)
     3200    0.052    0.000    0.100    0.000 dataGenerator.py:16(<lambda>)
        3    0.006    0.002    0.106    0.035 dataGenerator.py:17(<listcomp>)
     3200    0.110    0.000    0.284    0.000 dataGenerator.py:19(_bayesDecision)
        3    0.000    0.000    0.290    0.097 dataGenerator.py:26(_bayesY)
        3    0.006    0.002    0.290    0.097 dataGenerator.py:27(<listcomp>)
        3    0.000    0.000    0.402    0.134 dataGenerator.py:29(_getData)
        1    0.000    0.000    0.000    0.000 dataGenerator.py:6(__init__)
        3    0.000    0.000    0.000    0.000 dataGenerator.py:9(_generateY)
        5    0.000    0.000    0.000    0.000 disk.py:41(memstr_to_bytes)
     5934    0.017    0.000    0.024    0.000 enum.py:284(__call__)
     5934    0.007    0.000    0.007    0.000 enum.py:526(__new__)
        1    0.000    0.000    0.000    0.000 experiments.py:11(__init__)
        1    0.000    0.000    0.402    0.402 experiments.py:14(_getData)
        1    0.000    0.000    2.643    2.643 experiments.py:49(_QLabledClassifier)
        1    0.000    0.000    3.555    3.555 experiments.py:60(_QUnlabeledClassifier)
        1    0.000    0.000   36.266   36.266 experiments.py:72(_MixtureClassifier)
        1    0.000    0.000    0.793    0.793 experiments.py:82(_ClassicalClassifier)
        1    0.000    0.000    1.902    1.902 experiments.py:92(_OracleClassifierNoTargetLabel)
     3658    0.028    0.000    0.230    0.000 extmath.py:663(_safe_accumulator_op)
      607    0.003    0.000    0.016    0.000 fromnumeric.py:1041(argmax)
        2    0.000    0.000    0.000    0.000 fromnumeric.py:1110(argmin)
     1212    0.006    0.000    0.016    0.000 fromnumeric.py:1583(ravel)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:1694(nonzero)
     1207    0.001    0.000    0.001    0.000 fromnumeric.py:1785(shape)
    10058    0.053    0.000    0.312    0.000 fromnumeric.py:1966(sum)
       22    0.000    0.000    0.001    0.000 fromnumeric.py:2083(any)
       20    0.000    0.000    0.001    0.000 fromnumeric.py:2171(all)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:2252(cumsum)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:2512(amin)
       11    0.000    0.000    0.000    0.000 fromnumeric.py:2847(ndim)
        9    0.000    0.000    0.001    0.000 fromnumeric.py:3014(mean)
      624    0.003    0.000    0.013    0.000 fromnumeric.py:54(_wrapfunc)
    10105    0.066    0.000    0.251    0.000 fromnumeric.py:69(_wrapreduction)
    10105    0.019    0.000    0.019    0.000 fromnumeric.py:70(<dictcomp>)
      612    0.004    0.000    0.014    0.000 fromnumeric.py:815(sort)
        5    0.000    0.000    0.000    0.000 fromnumeric.py:942(argsort)
        7    0.000    0.000    0.000    0.000 function_base.py:20(_index_deprecate)
       15    0.000    0.000    0.000    0.000 function_base.py:258(iterable)
      640    0.007    0.000    0.057    0.000 function_base.py:294(average)
        7    0.001    0.000    0.002    0.000 function_base.py:37(linspace)
      600    0.010    0.000    0.019    0.000 functools.py:37(update_wrapper)
      600    0.002    0.000    0.002    0.000 functools.py:67(wraps)
        4    0.000    0.000    0.000    0.000 getlimits.py:497(__init__)
        2    0.000    0.000    0.000    0.000 getlimits.py:508(min)
        2    0.000    0.000    0.000    0.000 getlimits.py:522(max)
       10    0.000    0.000    0.001    0.000 index_tricks.py:316(__getitem__)
     3956    0.007    0.000    0.010    0.000 inspect.py:158(isfunction)
     1978    0.068    0.000    0.207    0.000 inspect.py:2117(_signature_from_function)
     1978    0.037    0.000    0.274    0.000 inspect.py:2198(_signature_from_callable)
     5934    0.046    0.000    0.079    0.000 inspect.py:2467(__init__)
    15824    0.011    0.000    0.011    0.000 inspect.py:2517(name)
     7912    0.005    0.000    0.005    0.000 inspect.py:2529(kind)
     1978    0.026    0.000    0.043    0.000 inspect.py:2750(__init__)
     7912    0.013    0.000    0.018    0.000 inspect.py:2799(<genexpr>)
     1978    0.005    0.000    0.280    0.000 inspect.py:2829(from_callable)
     1978    0.002    0.000    0.002    0.000 inspect.py:2835(parameters)
     1978    0.006    0.000    0.286    0.000 inspect.py:3081(signature)
     1978    0.012    0.000    0.020    0.000 inspect.py:484(unwrap)
     1978    0.004    0.000    0.005    0.000 inspect.py:504(_is_wrapper)
     1226    0.320    0.000    0.629    0.001 kde.py:116(fit)
     1216    0.064    0.000    7.170    0.006 kde.py:150(score_samples)
     1226    0.013    0.000    0.016    0.000 kde.py:73(__init__)
     2452    0.005    0.000    0.005    0.000 kde.py:96(_choose_algorithm)
      622    0.001    0.000    0.001    0.000 kdeClassifier.py:19(__init__)
      612    0.033    0.000    0.839    0.001 kdeClassifier.py:23(fit)
      612    0.064    0.000    0.064    0.000 kdeClassifier.py:25(<listcomp>)
      612    0.013    0.000    0.656    0.001 kdeClassifier.py:26(<listcomp>)
      612    0.012    0.000    0.012    0.000 kdeClassifier.py:30(<listcomp>)
      607    0.044    0.000    6.757    0.011 kdeClassifier.py:34(predict_proba)
      607    0.005    0.000    6.680    0.011 kdeClassifier.py:35(<listcomp>)
      605    0.008    0.000    6.313    0.010 kdeClassifier.py:40(predict)
        4    0.000    0.000    0.000    0.000 kdeClassifier.py:52(__init__)
        4    0.001    0.000    4.449    1.112 kdeClassifier.py:55(fit)
        1    0.000    0.000    0.141    0.141 kdeClassifier.py:81(predict)
        1    0.000    0.000    0.000    0.000 linalg.py:111(get_linalg_error_extobj)
        1    0.000    0.000    0.000    0.000 linalg.py:116(_makearray)
        2    0.000    0.000    0.000    0.000 linalg.py:121(isComplexType)
        1    0.000    0.000    0.000    0.000 linalg.py:134(_realType)
        1    0.000    0.000    0.000    0.000 linalg.py:144(_commonType)
        1    0.000    0.000    0.000    0.000 linalg.py:203(_assertRankAtLeast2)
        1    0.000    0.000    0.000    0.000 linalg.py:209(_assertNdSquareness)
        1    0.000    0.000    0.000    0.000 linalg.py:486(inv)
        5    0.000    0.000    0.001    0.000 linecache.py:15(getline)
        5    0.000    0.000    0.001    0.000 linecache.py:37(getlines)
        1    0.000    0.000    0.001    0.001 linecache.py:82(updatecache)
        5    0.000    0.000    0.000    0.000 logger.py:23(_squeeze_time)
        5    0.000    0.000    0.000    0.000 logger.py:39(short_format_time)
     1200    0.008    0.000    0.064    0.000 metaestimators.py:145(_safe_split)
       13    0.000    0.000    0.000    0.000 mixtureClassifier.py:15(__init__)
        1    0.000    0.000    0.656    0.656 mixtureClassifier.py:19(fit)
        1    0.000    0.000    0.467    0.467 mixtureClassifier.py:26(predict_proba)
        1    0.000    0.000    0.468    0.468 mixtureClassifier.py:33(predict)
        1    0.000    0.000    0.000    0.000 mixtureClassifier.py:43(__init__)
        1    0.000    0.000   35.798   35.798 mixtureClassifier.py:64(fit)
        1    0.000    0.000    0.006    0.006 mixtureClassifier.py:74(<listcomp>)
        1    0.000    0.000    0.000    0.000 mixtureClassifier.py:76(<listcomp>)
        1    0.000    0.000    0.000    0.000 mixtureClassifier.py:80(<listcomp>)
        1    0.000    0.000    0.468    0.468 mixtureClassifier.py:85(predict)
     1214    0.006    0.000    0.013    0.000 multiclass.py:109(is_multilabel)
     1214    0.035    0.000    0.136    0.000 multiclass.py:172(type_of_target)
        2    0.000    0.000    0.000    0.000 multiclass.py:22(_unique_multiclass)
        1    0.000    0.000    0.001    0.001 multiclass.py:40(unique_labels)
        3    0.000    0.000    0.000    0.000 multiclass.py:75(<genexpr>)
        3    0.000    0.000    0.000    0.000 multiclass.py:96(<genexpr>)
        3    0.000    0.000    0.000    0.000 multiclass.py:99(<genexpr>)
        6    0.000    0.000    0.000    0.000 numeric.py:175(ones)
        7    0.000    0.000    0.000    0.000 numeric.py:2035(isscalar)
        5    0.000    0.000    0.001    0.000 numeric.py:2355(allclose)
        5    0.000    0.000    0.001    0.000 numeric.py:2431(isclose)
        5    0.000    0.000    0.001    0.000 numeric.py:2508(within_tol)
       10    0.000    0.000    0.000    0.000 numeric.py:2656(seterr)
       10    0.000    0.000    0.000    0.000 numeric.py:2758(geterr)
     1226    0.009    0.000    0.029    0.000 numeric.py:293(full)
        5    0.000    0.000    0.000    0.000 numeric.py:3054(__init__)
        5    0.000    0.000    0.000    0.000 numeric.py:3058(__enter__)
        5    0.000    0.000    0.000    0.000 numeric.py:3063(__exit__)
     7343    0.014    0.000    0.043    0.000 numeric.py:469(asarray)
    14142    0.024    0.000    0.059    0.000 numeric.py:541(asanyarray)
     7316    0.018    0.000    0.029    0.000 numerictypes.py:293(issubclass_)
     3658    0.022    0.000    0.053    0.000 numerictypes.py:365(issubdtype)
       20    0.000    0.000    0.000    0.000 numerictypes.py:578(_can_coerce_all)
       10    0.000    0.000    0.000    0.000 numerictypes.py:602(find_common_type)
       10    0.000    0.000    0.000    0.000 numerictypes.py:654(<listcomp>)
       10    0.000    0.000    0.000    0.000 numerictypes.py:655(<listcomp>)
      600    0.004    0.000    0.007    0.000 parallel.py:179(__init__)
      600    0.001    0.000    0.001    0.000 parallel.py:211(__enter__)
      600    0.002    0.000    0.007    0.000 parallel.py:214(__exit__)
      600    0.003    0.000    0.005    0.000 parallel.py:217(unregister)
      600    0.004    0.000    0.005    0.000 parallel.py:240(__init__)
      600    0.009    0.000    6.987    0.012 parallel.py:251(__call__)
      600    0.008    0.000    6.964    0.012 parallel.py:255(<listcomp>)
     1800    0.002    0.000    0.002    0.000 parallel.py:258(__len__)
      600    0.006    0.000    0.027    0.000 parallel.py:295(delayed)
      600    0.001    0.000    0.001    0.000 parallel.py:305(delayed_function)
      600    0.001    0.000    0.001    0.000 parallel.py:326(__init__)
      600    0.010    0.000    0.013    0.000 parallel.py:331(__call__)
        5    0.000    0.000    0.001    0.000 parallel.py:615(__init__)
        5    0.000    0.000    0.000    0.000 parallel.py:697(__enter__)
        5    0.000    0.000    0.000    0.000 parallel.py:702(__exit__)
     10/5    0.000    0.000    0.000    0.000 parallel.py:706(_initialize_backend)
        5    0.000    0.000    0.000    0.000 parallel.py:726(_effective_n_jobs)
        5    0.000    0.000    0.000    0.000 parallel.py:731(_terminate_backend)
      600    0.011    0.000    7.024    0.012 parallel.py:735(_dispatch)
      605    0.028    0.000    7.477    0.012 parallel.py:772(dispatch_one_batch)
      605    0.008    0.000    0.019    0.000 parallel.py:81(get_active_backend)
       10    0.000    0.000    0.000    0.000 parallel.py:837(_print)
      600    0.001    0.000    0.001    0.000 parallel.py:850(print_progress)
        5    0.005    0.001    0.008    0.002 parallel.py:893(retrieve)
        5    0.025    0.005    7.511    1.502 parallel.py:941(__call__)
        2    0.000    0.000    0.000    0.000 pool.py:152(Process)
        2    0.001    0.000    0.022    0.011 pool.py:155(__init__)
        2    0.000    0.000    0.013    0.006 pool.py:227(_repopulate_pool)
        2    0.000    0.000    0.003    0.001 pool.py:250(_setup_queues)
        2    0.000    0.000   35.541   17.771 pool.py:263(map)
        2    0.000    0.000    0.001    0.000 pool.py:375(_map_async)
        2    0.000    0.000    0.124    0.062 pool.py:544(terminate)
        2    0.000    0.000    0.069    0.034 pool.py:562(_help_stuff_finish)
        2    0.000    0.000    0.124    0.062 pool.py:571(_terminate_pool)
        2    0.000    0.000    0.000    0.000 pool.py:619(__enter__)
        2    0.000    0.000    0.124    0.062 pool.py:622(__exit__)
        2    0.000    0.000    0.000    0.000 pool.py:631(__init__)
        2    0.000    0.000    0.000    0.000 pool.py:639(ready)
        2    0.000    0.000   35.541   17.770 pool.py:647(wait)
        2    0.000    0.000   35.541   17.770 pool.py:650(get)
        2    0.000    0.000    0.000    0.000 pool.py:676(__init__)
        1    0.000    0.000    0.000    0.000 popen_fork.py:1(<module>)
        1    0.000    0.000    0.000    0.000 popen_fork.py:13(Popen)
        2    0.000    0.000    0.011    0.006 popen_fork.py:16(__init__)
